
[1:760380]	 EXCV	Executive wakes up
[1:760383]	 EXCV	Checking deadline miss
[1:760385]	 EXCV	Begin frame 4
[1:760390]	 EXCV	Signal on task 0
[1:760392]	 EXCV	Signal on task 1
[1:760394]	 EXCV	Signal on task 4
[1:760395]	 EXCV	Executive sleeps

[1:760398]	 TSK0	Execution started
[1:768427]	 TSK0	Execution stopped
[1:768430]	 TSK1	Execution started
[1:786160]	 TSK1	Execution stopped
[1:786162]	 TSK4	Execution started
[1:794017]	 TSK4	Execution stopped

[1:800378]	 EXCV	Executive wakes up
[1:800382]	 EXCV	Checking deadline miss
[1:800384]	 EXCV	Begin frame 0
[1:800389]	 EXCV	Signal on task 0
[1:800391]	 EXCV	Signal on task 1
